snt_id,sdr,sdr_i,si-snr,si-snr_i
item0,29.984352,31.274797,19.919715881347656,22.262226104736328
item1000,24.274233,23.482334,19.800853729248047,19.133853912353516
item1001,25.397999,25.390652,19.93064308166504,20.698318481445312
item1002,23.230928,25.244923,17.903419494628906,20.53231430053711
item1003,15.646711,17.466255,13.301023483276367,16.00020408630371
item1004,28.929056,28.917185,21.89207649230957,21.990764617919922
item1005,25.780523,27.226974,19.13934326171875,20.76014518737793
item1006,20.818499,22.05515,16.195524215698242,17.767473220825195
item1007,21.943583,22.443783,16.462739944458008,17.166316986083984
item1008,24.505325,24.836275,17.342517852783203,18.2454833984375
item1009,19.0835,19.793839,13.493249893188477,14.76919174194336
item100,23.521229,24.04581,18.936973571777344,19.865558624267578
item1010,28.27503,28.877012,19.526947021484375,20.475425720214844
item1011,26.895607,27.825144,18.997547149658203,20.23242950439453
item1012,19.122791,18.127096,15.378551483154297,14.75667953491211
item1013,21.470581,20.270374,19.116397857666016,18.265235900878906
item1014,26.976458,28.776434,20.220321655273438,22.620805740356445
item1015,21.170977,23.350805,16.737773895263672,19.275571823120117
item1016,26.134478,26.260927,19.161174774169922,19.47420883178711
item1017,26.411364,25.93579,19.918703079223633,20.032873153686523
item1018,27.747982,24.240208,21.960006713867188,19.119840621948242
item1019,19.550924,20.803204,15.881753921508789,17.59274673461914
item101,28.19239,28.13405,22.067420959472656,22.272991180419922
item1020,29.464375,30.321331,21.580825805664062,22.874380111694336
item1021,24.117683,23.884207,19.035707473754883,18.974956512451172
item1022,22.285856,24.951786,16.827320098876953,20.213470458984375
item1023,21.173832,21.993042,16.52364730834961,17.839357376098633
item1024,12.145878,15.169967,9.891237258911133,14.05126667022705
item1025,24.369946,24.75375,19.164669036865234,19.66566276550293
item1026,33.247765,34.53523,22.791147232055664,24.354188919067383
item1027,18.00285,20.620129,14.812280654907227,18.25888442993164
item1028,22.10088,22.0483,17.861703872680664,17.983232498168945
item1029,23.013832,25.246086,19.54697036743164,22.09880256652832
item102,21.674587,21.604113,14.751254081726074,15.039373397827148
item1030,19.562494,20.5056,15.944390296936035,17.03487205505371
item1031,24.18232,24.0322,20.447324752807617,20.682945251464844
item1032,24.480453,24.89698,19.650405883789062,20.23045539855957
item1033,17.638954,17.956308,11.642361640930176,12.215658187866211
item1034,24.979727,25.47582,17.569713592529297,18.379650115966797
item1035,25.98278,28.607742,20.348976135253906,23.464275360107422
item1036,29.959766,29.272549,21.9585018157959,21.52988052368164
item1037,16.750845,18.554417,13.78091812133789,16.36351776123047
item1038,12.363485,14.044369,9.773774147033691,12.502114295959473
item1039,9.593996,11.659117,8.105308532714844,11.360566139221191
item103,21.945576,22.18276,17.42336654663086,18.144174575805664
item1040,28.307594,27.16024,22.846290588378906,22.831083297729492
item1041,17.902466,19.647354,15.540027618408203,17.89297103881836
item1042,26.129189,26.291767,20.854955673217773,21.39423179626465
item1043,25.207832,24.294495,19.556873321533203,18.83022689819336
item1044,24.256006,23.487415,16.92333984375,16.81778335571289
item1045,25.09274,24.872257,20.124101638793945,20.12656021118164
item1046,30.843893,31.553116,20.64104652404785,21.690704345703125
item1047,27.495964,27.716393,22.25360107421875,22.61220932006836
item1048,23.06469,23.624516,18.029125213623047,19.11857795715332
item1049,24.424664,23.008698,16.90557098388672,16.21851921081543
item104,21.195463,22.066368,16.639801025390625,17.99589729309082
item1050,17.841415,17.879257,13.944646835327148,14.342936515808105
item1051,26.229149,25.943378,21.284053802490234,21.16990852355957
item1052,16.75317,15.563192,13.56808853149414,12.665722846984863
item1053,19.654484,19.973492,16.698654174804688,17.26140594482422
item1054,28.40976,28.046854,22.033693313598633,21.89387321472168
item1055,25.8695,26.123657,18.362499237060547,19.03035545349121
item1056,24.90884,24.802137,19.979228973388672,20.04001235961914
item1057,24.059895,24.023113,18.056474685668945,18.287391662597656
item1058,27.714226,28.624584,18.600263595581055,19.709590911865234
item1059,25.985332,26.818214,18.87466049194336,19.967985153198242
item105,16.962687,18.056095,12.901286125183105,14.485065460205078
item1060,22.019688,22.93306,17.66457748413086,19.001354217529297
item1061,22.81723,22.402168,18.773235321044922,18.50012969970703
item1062,25.004723,24.975288,19.596172332763672,19.78938865661621
item1063,15.074204,16.950653,11.900333404541016,14.310674667358398
item1064,35.48069,36.266083,23.545166015625,24.57317543029785
item1065,12.08201,11.859953,9.980920791625977,10.892051696777344
item1066,25.138271,24.723715,18.620012283325195,18.650354385375977
item1067,27.425661,27.788042,20.446613311767578,20.933032989501953
item1068,16.27502,16.893463,12.645364761352539,13.886009216308594
item1069,27.139332,28.182873,19.725818634033203,21.224550247192383
item106,18.485954,19.54889,14.97260570526123,16.281465530395508
item1070,20.753868,23.546434,14.302799224853516,17.586788177490234
item1071,25.782642,25.455858,20.792133331298828,20.683429718017578
item1072,25.055,24.109262,19.93730926513672,19.289493560791016
item1073,24.150373,25.455856,16.2674560546875,18.08016586303711
item1074,29.973469,30.454802,21.549100875854492,22.347183227539062
item1075,26.922314,27.467125,19.19458770751953,20.16910171508789
item1076,20.61457,20.720604,16.35469627380371,16.837949752807617
item1077,23.227976,23.95918,18.691787719726562,19.60985565185547
item1078,27.636381,27.64847,21.447303771972656,21.581666946411133
item1079,27.517693,28.36889,20.73672103881836,21.954126358032227
item107,23.415405,24.10967,16.33759880065918,17.345901489257812
item1080,28.808163,29.344765,22.252439498901367,22.981006622314453
item1081,25.985558,26.648714,18.231239318847656,19.62286376953125
item1082,26.357208,26.00252,18.385950088500977,18.137420654296875
item1083,24.59935,23.026524,20.684722900390625,19.354511260986328
item1084,25.494186,25.330801,17.959224700927734,18.201698303222656
item1085,21.531898,17.929237,18.365352630615234,15.313697814941406
item1086,21.00367,21.551975,16.579952239990234,17.603004455566406
item1087,19.908747,20.474274,15.684919357299805,16.499788284301758
item1088,23.319817,24.582588,17.991512298583984,19.556564331054688
item1089,20.508448,22.030947,16.90520477294922,18.561603546142578
item108,26.823078,28.19626,22.319595336914062,24.17057228088379
item1090,20.604588,20.971468,15.404794692993164,16.062057495117188
item1091,27.033987,26.766865,19.140533447265625,19.042661666870117
item1092,21.282497,22.119642,16.347965240478516,17.770769119262695
item1093,23.298851,23.439806,18.381465911865234,18.802799224853516
item1094,10.134689,12.322501,8.274897575378418,11.516348838806152
item1095,15.860575,14.72854,13.125007629394531,12.416187286376953
item1096,21.052116,22.182589,15.92245864868164,17.771665573120117
item1097,23.158695,24.94302,16.443744659423828,18.521045684814453
item1098,27.265644,27.592037,20.821537017822266,21.448015213012695
item1099,27.406105,25.609344,21.651317596435547,20.262765884399414
item109,20.104874,19.843672,14.294927597045898,14.216484069824219
item10,31.048897,31.118244,19.407392501831055,19.71430206298828
item1100,29.048325,29.26133,22.282272338867188,23.086429595947266
item1101,19.381758,20.343613,15.263734817504883,16.768062591552734
item1102,27.034449,27.818987,22.208541870117188,23.397357940673828
item1103,27.69654,27.701996,19.36126708984375,19.700071334838867
item1104,27.450752,27.133642,22.390899658203125,22.216033935546875
item1105,21.777298,22.21241,16.261852264404297,17.07563018798828
item1106,20.147472,21.329012,15.038036346435547,16.65064239501953
item1107,22.169922,22.325123,16.614320755004883,17.05034637451172
item1108,25.746273,27.231897,18.51087188720703,20.302125930786133
item1109,23.962086,24.065628,18.887496948242188,19.243406295776367
item110,27.331697,28.812733,20.372241973876953,22.188627243041992
item1110,20.461067,21.445602,15.90003490447998,17.045101165771484
item1111,24.556904,24.744362,17.550012588500977,18.001304626464844
item1112,20.461346,21.77262,15.4609375,17.478269577026367
item1113,21.943819,21.919865,15.771324157714844,16.064990997314453
item1114,22.085258,23.472109,18.81327247619629,20.358806610107422
item1115,29.071495,29.437849,20.321144104003906,20.89092254638672
item1116,24.69733,24.988218,18.92134666442871,19.470457077026367
item1117,28.49017,27.907726,20.616161346435547,20.220340728759766
item1118,28.801392,28.76133,22.34362030029297,22.38875389099121
item1119,24.450745,24.752518,20.812259674072266,21.257095336914062
item111,27.253773,27.695402,18.696653366088867,19.335468292236328
item1120,21.820242,23.413448,16.14136505126953,18.15932846069336
item1121,20.592228,21.037857,16.784626007080078,17.53803062438965
item1122,24.413631,22.397726,19.72420310974121,18.079166412353516
item1123,26.389063,27.479599,19.37350082397461,20.892536163330078
item1124,20.848862,21.721565,16.47647476196289,17.833959579467773
item1125,22.022442,22.464243,17.153621673583984,18.045114517211914
item1126,16.746553,19.11793,12.830522537231445,15.890188217163086
item1127,24.468578,23.927454,18.878374099731445,18.53412628173828
item1128,28.48776,26.326126,21.371234893798828,19.56064796447754
item1129,22.697712,23.05005,17.482765197753906,18.06989288330078
item112,26.967342,27.317753,20.64777374267578,21.1514949798584
item1130,25.854815,25.921938,19.896915435791016,20.361644744873047
item1131,25.443512,27.234688,20.68002700805664,22.890640258789062
item1132,17.639456,17.32682,13.927604675292969,14.301774978637695
item1133,26.83781,26.408218,20.402008056640625,20.142940521240234
item1134,21.817749,25.14419,16.40194320678711,20.927021026611328
item1135,27.486134,28.764633,19.549354553222656,21.182411193847656
item1136,28.565075,27.424612,21.152040481567383,20.343448638916016
item1137,26.456984,26.431246,21.528568267822266,21.99659538269043
item1138,25.26802,24.607258,19.78469467163086,19.48565673828125
item1139,20.810085,21.446114,15.970683097839355,17.08014678955078
item113,19.297749,21.752813,14.716055870056152,17.793912887573242
item1140,25.929955,25.236519,21.863109588623047,21.3519287109375
item1141,20.903091,22.178268,17.065574645996094,19.10124969482422
item1142,26.117805,25.457825,19.04680633544922,18.824722290039062
item1143,25.051836,25.263811,18.640949249267578,19.16328239440918
item1144,20.150465,20.005583,15.697214126586914,15.740340232849121
item1145,18.946617,22.711794,14.966163635253906,19.862430572509766
item1146,19.398834,19.398806,15.224864959716797,15.641918182373047
item1147,24.447937,22.800392,20.305397033691406,19.125696182250977
item1148,21.823448,23.702456,17.622844696044922,20.30801010131836
item1149,24.896904,25.210049,18.072336196899414,18.816049575805664
item114,25.243076,25.669138,19.527097702026367,20.097280502319336
item1150,20.555542,20.333578,16.376487731933594,16.807601928710938
item1151,29.011377,28.70465,19.96842384338379,19.828330993652344
item1152,24.745184,26.205196,19.77688980102539,21.57781982421875
item1153,20.154343,20.489025,16.583267211914062,17.275484085083008
item1154,28.121672,28.930782,21.80782127380371,22.70258140563965
item1155,16.809975,16.98769,12.783428192138672,13.841765403747559
item1156,16.1241,17.965855,13.494921684265137,15.666499137878418
item1157,24.686443,24.45221,17.75833511352539,17.85600471496582
item1158,27.442286,27.163708,20.98075294494629,21.019807815551758
item1159,15.364042,12.009822,12.612611770629883,10.255525588989258
item115,22.092533,24.87368,17.84284210205078,21.188003540039062
item1160,17.57996,18.260506,13.354766845703125,14.278691291809082
item1161,21.055386,22.38003,15.957598686218262,17.87619400024414
item1162,15.27653,16.06246,12.50817584991455,13.598264694213867
item1163,23.522167,24.757935,19.17748260498047,20.533565521240234
item1164,20.517967,20.074865,17.725629806518555,18.6823673248291
item1165,24.607,24.557405,17.914146423339844,18.294574737548828
item1166,19.21664,20.94274,15.371038436889648,17.33547019958496
item1167,23.888258,23.259222,20.141643524169922,19.82994842529297
item1168,20.953522,20.886436,15.346504211425781,15.42763900756836
item1169,15.024607,17.235252,12.628915786743164,15.351566314697266
item116,27.989155,28.99759,17.94051742553711,19.2137393951416
item1170,19.173779,19.017937,14.681755065917969,14.71513557434082
item1171,21.70855,24.484663,15.339866638183594,19.142074584960938
item1172,20.830294,20.436407,17.27252960205078,17.131431579589844
item1173,25.702118,26.536957,18.488506317138672,19.6374454498291
item1174,25.936638,26.092407,18.755050659179688,19.10469627380371
item1175,24.537523,24.270271,18.825664520263672,19.03944206237793
item1176,18.856043,19.9125,14.613340377807617,16.23848533630371
item1177,17.391891,19.27513,14.632309913635254,17.104097366333008
item1178,24.971748,26.087482,18.227705001831055,19.621158599853516
item1179,24.401478,27.247076,17.758338928222656,20.89892578125
item117,32.16187,31.726984,21.307151794433594,21.058605194091797
item1180,23.16164,19.699604,18.074928283691406,15.049891471862793
item1181,21.734562,21.425781,15.893016815185547,15.767352104187012
item1182,31.579182,31.725302,21.193748474121094,21.55097007751465
item1183,22.29737,23.130953,18.222545623779297,19.193174362182617
item1184,25.068932,26.522053,21.247997283935547,23.39051055908203
item1185,23.552414,23.84665,18.617237091064453,19.095808029174805
item1186,27.268234,29.058891,19.672956466674805,21.883655548095703
item1187,16.838127,19.089193,13.846589088439941,16.825782775878906
item1188,22.360706,22.423077,19.093067169189453,19.400375366210938
item1189,25.426842,24.08103,20.061439514160156,18.898204803466797
item118,28.64233,29.388525,21.040271759033203,22.28346061706543
item1190,24.876673,26.76549,17.512248992919922,19.635679244995117
item1191,16.913853,16.119787,13.440595626831055,12.971550941467285
item1192,24.450506,24.261873,17.298648834228516,17.407026290893555
item1193,22.15915,22.474293,17.23346710205078,17.73246955871582
item1194,18.463463,19.95562,15.321968078613281,17.077726364135742
item1195,23.252739,23.292662,18.6370849609375,19.046831130981445
item1196,23.082657,23.691368,17.717388153076172,18.752775192260742
item1197,23.73124,24.608215,17.416698455810547,18.616313934326172
item1198,25.90263,25.982674,18.720460891723633,19.091144561767578
item1199,22.473356,22.30948,18.534290313720703,18.50783920288086
item119,20.941338,20.985537,15.924778938293457,16.25514793395996
item11,28.288433,29.28829,20.793371200561523,22.09217071533203
item1200,22.210262,23.68826,18.118810653686523,19.999034881591797
item1201,20.010246,21.056055,16.355545043945312,17.811986923217773
item1202,27.234774,26.41292,20.71187973022461,20.144115447998047
item1203,21.438803,21.565987,14.976913452148438,15.437341690063477
item1204,26.294846,26.53815,20.168437957763672,21.406898498535156
item1205,28.423616,28.643278,19.966873168945312,20.464262008666992
item1206,24.703098,25.944645,19.782167434692383,21.284528732299805
item1207,20.82089,22.561787,17.707714080810547,19.723297119140625
item1208,22.923592,24.50836,18.104982376098633,20.302913665771484
item1209,28.471815,24.830463,21.64815902709961,18.541606903076172
item120,26.26125,24.130802,20.946086883544922,19.182910919189453
item1210,23.714735,23.926622,18.36507225036621,18.981800079345703
item1211,15.311395,15.156292,11.622743606567383,12.569731712341309
item1212,20.752022,21.357576,16.868209838867188,17.594329833984375
item1213,19.520275,19.710737,15.552303314208984,15.883015632629395
item1214,18.225761,17.85261,14.415267944335938,14.44556999206543
item1215,23.771605,24.237068,18.349939346313477,18.98824691772461
item1216,24.673977,23.526972,17.76220703125,16.872333526611328
item1217,24.89182,24.701633,17.03771209716797,17.094684600830078
item1218,27.907913,27.55567,20.668170928955078,20.516258239746094
item1219,21.829956,21.140352,17.308847427368164,19.073503494262695
item121,27.990093,27.93392,21.673078536987305,21.9493350982666
item1220,18.500349,23.357752,14.393771171569824,19.993837356567383
item1221,28.61541,30.70044,20.57755470275879,23.565526962280273
item1222,25.247234,25.655422,19.10558319091797,19.851362228393555
item1223,23.145489,23.866684,17.85240936279297,18.774259567260742
item1224,23.891136,24.666029,19.05209732055664,20.1507511138916
item1225,25.750187,28.185066,17.531278610229492,20.732120513916016
item1226,17.247108,16.830914,15.008424758911133,14.845961570739746
item1227,24.10356,25.520523,18.856157302856445,20.47953987121582
item1228,20.632479,21.03059,18.39158058166504,19.05008888244629
item1229,27.32357,27.120539,20.764131546020508,20.859403610229492
item122,25.096771,25.215137,19.829177856445312,20.166213989257812
item1230,26.862343,26.440304,19.446014404296875,19.250490188598633
item1231,22.619545,22.357368,17.207019805908203,17.261455535888672
item1232,22.203056,21.724573,18.2545223236084,17.984989166259766
item1233,27.685268,28.607307,19.45313262939453,20.836286544799805
item1234,26.401623,27.335064,20.66345977783203,21.845903396606445
